id	chrom
chromo001	NC_055957.1
chromo002	NC_055958.1
chromo003	NC_055959.1
chromo004	NC_055960.1
chromo005	NC_055961.1
chromo006	NC_055962.1
chromo007	NC_055963.1
chromo008	NC_055964.1
chromo009	NC_055965.1
chromo010	NC_055966.1
chromo011	NC_055967.1
chromo012	NC_055968.1
chromo013	NC_055969.1
chromo014	NC_055970.1
chromo015	NC_055971.1
chromo016	NC_055972.1
chromo017	NC_055973.1
chromo018	NC_055974.1
chromo019	NC_055975.1
chromo020	NC_055976.1
chromo021	NC_055977.1
chromo022	NC_055978.1
chromo023	NC_055979.1
chromo024	NC_055980.1
chromo025	NC_014690.1
